m0,mult
3015.81159091054,1
3021.69039098731,10
3027.39813402329,10
3033.69644576729,10
3046.39886916371,10
3051.05549482484,10
3054.4679930219,10
3059.82324967069,10
3069.11177073643,10
3072.88395317905,10
3076.49228086383,10
3089.79636759176,38
3096.05522534709,38
3100.22232558249,38
3112.8845625511,38
3117.12909361328,38
3120.76606185389,38
3123.96176637515,38
3127.52345876283,38
3135.35475657093,38
3140.91810078283,38
3144.25209478834,38
3148.86690009379,38
3152.93275114107,38
3155.84322485047,38
3160.29587957929,38
3164.95334655287,38
3168.29620359641,38
3173.40116981603,38
3176.46777761879,38
3181.0513436789,38
3186.34127095275,38
3202.04391665578,38
3204.9987122783,38
3210.49449560579,38
3221.10113255196,38
3227.03897808107,38
3230.81371566945,38
3243.68346179525,38
3249.51049710536,38
3253.77081734173,38
3259.92930696218,38
3264.92243723254,38
3269.89082565837,38
3273.89951404975,38
3280.53721292306,38
3289.41399419615,38
3295.86614273164,38
3300.58255810956,38
3314.31120870262,7
3320.18109088063,7
3327.17427368499,7
3332.06752605991,7
3334.80117743236,7
3340.23602689727,7
3348.90778592255,7
3355.68803282767,8
3359.21551248852,8
3362.86226510628,8
3369.61892878474,8
3374.78667165371,8
3379.92641044913,8
3383.40875260915,8
3389.12509049653,8
3401.95890125816,48
3406.52824804509,48
3411.70766225073,48
3424.49222220808,48
3433.18375240897,48
3446.36864197305,48
3452.01844466039,48
3455.68294215381,48
3469.03493759948,48
3474.83479909369,48
3484.64627428349,48
3489.60887294732,48
3495.34800821953,48
3501.47522257301,48
3511.91515845542,48
3518.01231477326,48
3522.70114394216,48
3528.17129542833,48
3532.83814076059,48
3538.35181144203,48
3544.19506248707,48
3556.47624885324,48
3564.40222984776,48
3571.94510017663,48
3577.27797627285,48
3581.36832577197,48
3584.85396376776,48
3588.60521092416,48
3593.43038956542,48
3600.15409983215,48
3606.97597847307,48
3611.4428598148,48
3615.71267145058,48
3618.27093484286,48
3622.42812751889,48
3625.85966260973,48
3630.2784858981,48
3634.93808451824,48
3639.55397781085,48
3645.26308109226,48
3650.76693569004,48
3658.96570262047,48
3663.05457634315,48
3667.70578457149,48
3672.17459615165,48
3675.4494112338,48
3683.97296907128,48
3687.74086601907,48
3694.31476656141,11
3699.91482580683,11
3703.87513731784,11
3711.39647552189,11
3718.1380692752,11
3722.91282717528,11
3728.02163851067,11
3731.19820689135,11
3734.57916539144,11
3738.55741686682,11
3745.33119183999,11
3749.3508178618,6
3760.93407262193,6
3766.2474273171,6
3771.15405098352,6
3782.3136125872,6
3787.19290186695,6
3791.47472690215,25
3794.8199724832,25
3799.7074458483,25
3805.4980188621,25
3809.30537254082,25
3814.85478215111,25
3817.89953667317,25
3823.1476322967,25
3831.31944390843,25
3838.30274913824,25
3843.60892939553,25
3848.39570231945,25
3856.76780525276,25
3860.22024940737,25
3866.70265625475,25
3873.56286210351,25
3880.01686196911,25
3882.83063585777,25
3886.85778021295,25
3891.80422228044,25
3898.80652342293,25
3912.37957932707,25
3917.39756443507,25
3922.47251354847,25
3928.92929701414,25
3938.06492846141,1
3941.32372928677,21
3947.65460740364,21
3954.51459712375,21
3960.82625867654,21
3964.82009936748,21
3968.24760733484,21
3971.8489897433,21
3977.72002370439,21
3984.29215337744,21
3989.89909409844,21
3995.35082636324,21
4004.93768379066,21
4010.12353035194,21
4013.43073573995,21
4017.19494980441,21
4023.48654272292,21
4028.90594854588,21
4038.68091971439,21
4048.03853771861,21
4057.13488440832,21
4062.29233550631,21
4076.4906827201,13
4080.34470738282,13
4084.60061252164,13
4090.59333670184,13
4097.5881331292,13
4105.769879238,13
4114.1707249923,13
4116.91218849228,13
4121.22509339714,13
4130.20124662517,13
4133.81589354973,13
4142.22795430603,13
4146.8651156502,13
4153.5613221172,1
4160.01699858176,40
4166.2902341476,40
4170.80647420116,40
4176.20410347079,40
4181.73176534427,40
4188.7574570138,40
4192.14689367067,40
4198.21870291441,40
4202.89330158719,40
4213.92298165794,40
4218.07853377959,40
4225.80102677871,40
4235.71016529379,40
4240.52510575259,40
4247.51811424909,40
4258.10530971471,40
4263.40164760072,40
4271.11393823124,40
4277.33748932908,40
4291.53395840039,40
4299.89018198064,40
4313.7020024154,40
4323.42046039469,40
4327.82246223335,40
4335.40711695585,40
4340.07077282148,40
4348.30926466662,40
4354.49006967475,40
4358.25762655945,40
4368.03887662165,40
4372.17780279094,40
4385.97434997267,40
4392.92941531539,40
4400.64105664374,40
4405.67836173919,40
4413.04722906961,40
4419.42976701954,40
4426.2015928487,40
4440.71706087714,40
4451.82149873251,40
4464.9326640797,22
4475.21948405612,22
4481.00609424839,22
4497.99936987604,22
4506.18604730423,22
4514.33795255282,22
4521.24327083727,22
4527.240999471,22
4533.61756674,22
4538.81730582808,22
4542.85193496231,22
4547.29096699713,22
4554.41614242271,22
4562.37518854213,22
4569.71949103315,22
4573.3181410693,22
4577.91095249813,22
4584.69945705598,22
4594.26587326531,22
4604.35228263495,22
4609.33710346389,22
4616.51109627138,22
4620.86616921133,20
4627.38080690366,20
4633.98735046792,20
4646.35401355274,20
4651.74707769034,20
4659.57988974283,20
4663.98166881604,20
4671.95270559705,20
4678.05182876705,20
4684.28315540486,20
4692.601064777,20
4699.1582219126,20
4703.40709269935,20
4709.04704446332,20
4717.80837124294,20
4728.78353004037,20
4734.01603047574,20
4737.23171356512,20
4740.13385168095,20
4745.3921828005,20
4762.63962804262,23
4766.75358366186,23
4770.82677692696,23
4782.6297761789,23
4792.74258160946,23
4797.32487323427,23
4803.10107698632,23
4811.25015948885,23
4820.30830211377,23
4831.01803104925,23
4843.68049367673,23
4848.22657470511,23
4851.56502048873,23
4854.97947873583,23
4862.98543942695,23
4873.37396072031,23
4883.22868190793,23
4891.02350937149,23
4900.11360519985,23
4908.30276654355,23
4919.84459750203,23
4928.7990642875,23
4936.47229628575,23
4944.01737433583,66
4951.26072466804,66
4959.05762720877,66
4962.65700848652,66
4967.29937603386,66
4974.73007375925,66
4979.49965484889,66
4984.44295765833,66
4993.27699198357,66
5001.91288642733,66
5010.16334771799,66
5016.93210665391,66
5028.55248408886,66
5038.48835382195,66
5045.10920749033,66
5051.3469181717,66
5058.29903899505,66
5064.90527943294,66
5070.16860729064,66
5073.90906528814,66
5081.99241679445,66
5091.02090713765,66
5101.30259448711,66
5108.53573482109,66
5115.79098247199,66
5122.76738271158,66
5128.76186788271,66
5138.60048380399,66
5144.71239463965,66
5152.03234068705,66
5162.99814394698,66
5166.93524555976,66
5177.26349184449,66
5182.26640985511,66
5187.94741504771,66
5192.55931754737,66
5197.58281240371,66
5203.8179953054,66
5212.88418200989,66
5218.43456237036,66
5227.64297971942,66
5234.22838587743,66
5238.02546847788,66
5246.53439670051,66
5254.37542527697,66
5261.21633103993,66
5271.21760263544,66
5275.66064089919,66
5280.52370724246,66
5284.51076734182,66
5290.57687435167,66
5298.92595902934,66
5305.56406622491,66
5310.26690257392,66
5318.38860248794,66
5323.49305508,66
5328.06776569295,66
5336.48514797669,66
5341.15243534866,66
5347.26297541786,66
5356.14629082305,66
5369.86812449441,66
5376.43686594967,66
5385.89350894733,66
5393.7213615033,66
5401.18381890529,66
5415.06683672163,126
5424.54614571932,126
5437.86297403617,126
5447.04246613986,126
5458.29447722152,126
5463.19928796499,126
5467.72011861057,126
5477.53096927187,126
5482.44786883817,126
5500.26783780925,126
5504.95659693581,126
5512.62484043683,126
5521.33236519184,126
5529.39805830671,126
5535.74582648093,126
5542.98975330878,126
5550.14312374593,126
5555.70211023799,126
5559.44587840221,126
5566.71084742145,126
5582.39236984446,126
5593.55813196131,126
