width type,a0,a1,c0,c1,c2,Cutoff
width,2.87801014625152,0.000588690235727998,5.76390242037947,-0.00113383064547181,1.05253036978089e-07,14470.762526556
sig1,1.3737899564471,0.000255265860888645,-3.14295748711777,-9.52549202755724e-06,3.98941668038066e-08,14470.762526556
sig2,1.50422018980442,0.000333424374839353,8.90685990749722,-0.00112430515344426,6.53588701742826e-08,14470.762526556
