index,m0,A,int,SN,mult
154,4386.53456724284,318.649166687468,1852.09436084964,50.1076502985017,1
193,4399.99014088188,208.630786320579,1214.39027879804,20.9036740989259,1
229,4412.67289244309,609.491905999592,3552.55165225709,37.4060130426618,3
249,4419.42897595479,299.499786410788,1746.9654163831,38.4369332649934,3
270,4426.78165772404,184.38774564462,1076.37291964244,22.8774713126285,3
18,4441.07690785675,134.915418750919,788.784246324649,19.9785808206127,1
48,4451.56309182777,230.367485758537,1348.35940322155,20.4230294379847,1
87,4464.99017525275,1041.25981438225,6103.33847872331,23.7632231485771,1
114,4474.62910028431,483.754612871805,2838.44686137119,32.7577389192536,2
134,4481.49252732377,343.820872870766,2018.85956139208,49.5702482871112,2
14,4498.21520774008,104.767453698444,616.275111005353,17.9156905463609,1
58,4513.65893977556,151.6400726128,893.462120686441,19.2572470745994,3
98,4527.92993648006,164.620993874859,971.417779187374,29.3481132763142,3
115,4533.86368113458,158.815184753299,937.748604344764,20.791678591115,3
143,4543.73881969355,65.9799394243458,389.996961976081,12.7423298324012,1
176,4555.34055530878,185.348226380326,1096.9114876008,24.3748080270392,1
40,4577.19020766884,397.763087476001,2359.45247054652,37.6053400546673,2
59,4583.82434805032,242.498377490421,1439.46084266632,24.1914133753439,2
88,4594.40296354065,531.638277474652,3159.30815959456,25.4504489342005,2
117,4604.58260183545,458.463796483115,2727.3867738765,59.4592284334675,2
35,4627.09562441464,70.0636300141052,417.794770747075,19.1539374566882,2
55,4634.10848462233,327.925736025614,1956.88726595365,15.5080689862941,2
100,4650.33752971433,313.04142372797,1871.24913213048,34.8430876487061,1
161,4672.14794428498,194.957651007369,1168.05132118317,19.2504169614618,1
218,4692.85649307637,278.538762482471,1672.42604839983,22.3443578977815,2
262,4708.6983881064,151.457686444011,910.898628131881,12.4218370929979,2
288,4718.14778188046,1643.48987023012,9894.02815092641,33.8462058724403,1
315,4727.86108081613,355.836553208999,2144.34938502703,17.6053537670108,3
342,4737.6006645122,297.517639817051,1794.72259495908,24.9054968577284,3
363,4745.01436096506,221.795355251769,1338.97169343951,37.4972746125396,3
23,4762.86742652425,288.877057822242,1747.1736582906,27.5474088921736,1
79,4783.1657864883,162.762765760601,986.484990009145,18.5908088987397,1
119,4797.6392987689,541.297941251422,3285.64927554747,50.2143330319259,1
182,4820.95164410241,213.138075794025,1296.85023467084,18.0144302314335,2
211,4831.22823052712,456.393963241446,2779.89299094375,34.7494886270572,2
269,4852.53370735065,185.01240892441,1129.37959369284,19.6366792020827,1
298,4863.29660120437,548.359758140361,3351.07560634209,39.9869908169562,1
328,4874.12837967891,103.418265813243,632.700252999652,11.3403226473848,1
372,4890.31530877912,114.921233007098,704.239685921663,13.455048754047,1
398,4899.95420921214,405.576095434996,2487.82841089642,37.3026349447101,1
53,4928.86574947711,174.072661560676,1070.92598547436,39.0833012102024,1
96,4944.58906773747,455.417737769118,2806.29812898747,37.57010600107,2
118,4952.79381779261,170.523957873184,1051.65061923997,36.0440785680777,2
155,4966.40602961453,220.35135063493,1360.82432410694,34.7912695612074,4
174,4973.43056043523,184.151278061327,1138.07406414994,23.8119646645555,4
203,4984.19273239467,58.1384987330271,359.694060299917,11.5730127676155,4
228,4993.6275649356,158.965835984289,984.437326722355,38.5064954020445,4
270,5009.07108240707,140.851005108204,873.619612404056,16.883089192583,1
21,5028.66555514468,144.929940739402,900.698509585866,16.7592627986628,1
51,5039.7949637254,96.0141667932681,597.370453853981,10.4960545584278,1
83,5051.58134029547,130.050959465326,810.097386523862,20.6869157668824,4
127,5068.07283877821,223.15466455507,1392.35363306418,26.641975962058,4
143,5074.03861017,469.773070445446,2932.86338733594,48.1516886752792,4
164,5082.06438403626,191.335373404338,1195.49757038742,18.9224033817649,4
235,5108.55413433128,354.929295514086,2223.55327528008,65.9823498365347,3
251,5114.77185194932,406.107537221692,2545.7559110239,74.9636137265586,3
267,5120.64248014508,139.231639634009,873.310013539967,25.3050934408421,3
315,5138.77538690853,159.468829270436,1002.0568307563,32.262938481868,1
349,5151.70027515656,176.976932461529,1113.5061623887,39.0363422106386,1
49,5188.46651133464,217.258690326808,1371.9570166582,28.0530427171658,1
77,5198.98553939735,170.766650196736,1079.49218350425,29.8457638453145,2
97,5206.64312974017,106.877461722548,676.132977170349,18.2972443873097,2
152,5227.50532585449,91.9103707485804,582.649051830289,12.4199837072722,3
179,5237.77018863698,145.180515493746,921.279287408552,29.6565618340962,3
200,5245.80499379723,71.7563596364357,455.709223633351,22.3434080779701,3
230,5257.17925920947,97.2733615482325,618.455544747925,20.4178119460642,1
318,5290.74197246198,196.231170738663,1251.74775214549,22.6001413947581,2
339,5298.85993188769,455.291119774687,2906.59288382551,30.6627806820281,2
413,5327.25791001913,90.929841961669,582.117110164817,24.2225183140679,2
438,5336.6483439014,138.531812357846,887.671867042576,29.2368624779604,2
17,5356.22632319595,74.6195581545479,479.056050512565,12.7620464044068,1
54,5370.4436281813,168.570951126581,1083.72391268625,32.0368980705085,1
93,5385.42711446335,84.6307127303753,544.876068502029,19.8233261520093,1
136,5402.11562549899,122.477664723385,789.826108535781,18.3158708920894,1
170,5415.02633186004,372.917206343826,2407.86160409613,34.6377960233387,2
194,5424.37801497396,128.767411477956,832.183398080057,24.8301536429885,2
228,5437.56735430278,193.678758964008,1253.28583235113,25.1385712397738,1
21,5458.29617298533,154.985901619233,1004.91942851996,27.1524540055249,2
46,5468.09992821088,81.2828623827407,527.532633218704,14.4366395218005,2
84,5482.70350535754,179.734993602967,1168.14006125221,22.0051620657302,1
126,5499.29655962736,147.884271284259,962.672399187383,29.9179668793575,1
160,5512.28988921023,122.920657084001,801.169260484628,15.9534794550666,3
183,5521.49875603607,61.084561286598,398.487961620686,10.8683338895028,3
204,5529.68875531301,195.82995595363,1278.51081466349,27.7930454468878,3
269,5555.20416731823,122.328798618191,800.601308832563,17.0566745260276,1
299,5566.66565707797,227.160904219473,1488.32410494733,41.6434041153794,1
338,5582.11453233072,120.261320738282,789.0983379641,13.8344651606677,2
368,5594.15010133057,114.634523998822,753.042510758347,15.3004023738368,2
409,5610.15001256136,86.1108493650387,566.531786333837,13.2883578127798,1
443,5623.48083780467,62.7677759836055,413.479739889993,18.9120117156212,1
489,5641.86892503054,154.528679469058,1019.73092179102,32.154531129064,1
17,5685.80875085462,119.434930657744,791.436726554351,16.7049097649639,1
71,5707.16606532562,133.400355414861,885.76409631369,22.6062695468041,2
94,5716.18382588535,366.839804332967,2437.85005257774,33.8769815034102,2
130,5730.71181197417,134.551783778263,895.394733881924,21.9800601168639,1
166,5744.99897973178,151.742899224462,1011.15409626618,25.2158926113741,1
209,5761.94437173053,157.794307311625,1053.15383145556,19.1726473208963,2
236,5772.74741765104,174.309518832455,1164.55998889268,17.7939915338954,2
271,5787.05345005973,220.499072164552,1475.12860887811,38.7328754210119,1
47,5816.84600285091,95.2572123015926,639.044731032673,19.8794273545118,1
83,5831.58556144463,296.909313453926,1994.59504498326,26.3703999141001,1
129,5849.93554556574,229.193810740928,1542.3272806245,22.713921453054,1
166,5864.79339471834,137.945485591721,929.568950540865,30.562324134464,1
190,5874.51707031817,150.561289709523,1015.50008576295,27.6776813157936,1
263,5904.21672132222,50.3410896409415,340.475574707851,11.9699820569606,1
296,5917.45849005978,216.247571375046,1464.35740863424,37.9057319323294,1
368,5946.67801667022,80.398836738942,545.906587283466,12.0651958421239,1
