m0,mult
4763.00307835821,2
4771.0328994404,2
4783.3977489932,1
4797.30931566663,2
4801.2236021816,2
4821.30211379057,2
4831.05670160756,2
4852.27545847787,1
4863.32838759245,2
4874.40769783274,2
4887.14654835596,3
4893.37282308671,3
4900.26612406548,3
4920.83328847368,2
4928.91367043232,2
4944.28888506353,2
4951.26632808738,2
4966.89719427116,4
4973.92734515956,4
4984.67748760339,4
4993.75293423117,4
5003.03864016404,2
5009.68799286757,2
5028.94892661672,7
5039.37346114901,7
5051.62421087371,7
5058.08876971798,7
5067.63669341254,7
5074.0876821604,7
5082.82560359572,7
5108.71879178239,6
5115.19569845846,6
5120.35725752542,6
5123.40942733017,6
5137.44156503954,6
5141.14999339649,6
5152.72942460131,1
5187.31102252449,4
5193.88785368018,4
5199.57079322422,4
5210.04709775874,4
5228.10421453559,6
5237.94859997725,6
5245.78007614839,6
5248.95940188632,6
5256.76369747403,6
5261.33394033875,6
5277.1149022404,4
5283.23411507311,4
5290.34849576796,4
5299.48032356586,4
5309.8381422712,1
5326.44883769522,2
5336.74258241606,2
5356.16769174351,1
5368.55785158011,4
5374.51144483992,4
5381.41958292062,4
5385.33061655686,4
5400.98208950481,1
5414.44354210749,3
5421.55576966106,3
5437.25079206297,3
5457.7434219046,2
5467.74256147803,2
5477.43314759828,2
5483.21991617129,2
5500.96010520946,1
5512.52137166855,3
5520.54360957629,3
5529.36100461161,3
5548.10476788938,3
5556.16805712387,3
5566.63990644956,3
5581.87936404655,5
5594.24707137653,5
5600.07500438377,5
5611.05075672254,5
5623.00403069793,5
5638.26670214929,2
5644.08824208579,2
5661.96204723934,1
5685.75208422501,1
5707.91800699621,2
5716.23059190081,2
5728.68462248541,7
5734.69891191149,7
5738.34588645191,7
5746.72387156958,7
5757.86951742648,7
5764.09719006195,7
5772.83247362186,7
5786.66881589289,1
5804.90773705421,1
5816.77922781028,1
5831.60584956556,1
5850.13287992649,5
5863.69061126414,5
5873.37641186879,5
5884.57361085708,5
5890.86565520351,5
5904.22221177693,1
5917.51254810527,1
5938.77536049427,2
5946.67083003783,2
5971.75743243166,1
5990.71832614852,2
5997.61827490559,2
